first,house,last
 Hannah,Hufflepuff,Abbott
 Katie,Gryffindor,Bell
 Susan,Hufflepuff,Bones
 Terry,Ravenclaw,Boot
 Lavender,Gryffindor,Brown
 Millicent,Slytherin,Bulstrode
 Cho,Ravenclaw,Chang
 Penelope,Ravenclaw,Clearwater
 Vincent,Slytherin,Crabbe
 Colin,Gryffindor,Creevey
 Dennis,Gryffindor,Creevey
 Cedric,Hufflepuff,Diggory
 Marietta,Ravenclaw,Edgecombe
 Justin,Hufflepuff,Finch-Fletchley
 Seamus,Gryffindor,Finnigan
 Anthony,Ravenclaw,Goldstein
 Gregory,Slytherin,Goyle
 Hermione,Gryffindor,Granger
 Angelina,Gryffindor,Johnson
 Lee,Gryffindor,Jordan
 Neville,Gryffindor,Longbottom
 Luna,Ravenclaw,Lovegood
 Remus,Gryffindor,Lupin
 Draco,Slytherin,Malfoy
 Scorpius,Slytherin,Malfoy
 Ernie,Hufflepuff,Macmillan
 Minerva,Gryffindor,McGonagall
 Eloise,Gryffindor,Midgen
 Cormac,Gryffindor,McLaggen
 Graham,Slytherin,Montague
 Theodore,Slytherin,Nott
 Pansy,Slytherin,Parkinson
 Padma,Gryffindor,Patil
 Parvati,Gryffindor,Patil
 Harry,Gryffindor,Potter
 Tom,Slytherin,Riddle
 Demelza,Gryffindor,Robins
 Newt,Hufflepuff,Scamander
 Horace,Slytherin,Slughorn
 Zacharias,Hufflepuff,Smith
 Severus,Slytherin,Snape
 Alicia,Gryffindor,Spinnet
 Pomona,Hufflepuff,Sprout
 Dean,Gryffindor,Thomas
 Romilda,Gryffindor,Vane
 Myrtle,Ravenclaw,Warren
 Fred,Gryffindor,Weasley
 George,Gryffindor,Weasley
 Ginny,Gryffindor,Weasley
 Percy,Gryffindor,Weasley
 Ron,Gryffindor,Weasley
 Oliver,Gryffindor,Wood
 Blaise,Slytherin,Zabini
